City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,ugoofaaru,5.6667,73.0,29.38,69,8,0.71,MV,1712582530
335,mirny,62.5353,113.9611,-5.43,95,100,4.92,RU,1712582530
336,novovyazniki,56.1975,42.1711,14.28,65,100,5.4,RU,1712582531
337,okha,53.5739,142.9478,-4.86,94,27,1.79,RU,1712582531
338,mindif,10.3976,14.4363,40.19,19,17,3.38,CM,1712582532
339,kirensk,57.7853,108.1119,-5.02,88,100,4.02,RU,1712582532
340,petukhovo,55.0692,67.9019,4.23,92,100,2.18,RU,1712582532
341,udomlya,57.8794,34.9925,14.97,59,97,4.41,RU,1712582533
342,mahebourg,-20.4081,57.7,27.16,78,75,1.54,MU,1712582533
343,bosaso,11.2842,49.1816,28.99,74,0,4.63,SO,1712582534
344,vel'sk,61.0701,42.0983,7.37,87,98,5.36,RU,1712582534
345,caibarien,22.5206,-79.4669,22.62,59,2,7.24,CU,1712582535
346,piacabucu,-10.4056,-36.4344,29.64,70,89,2.77,BR,1712582535
347,aasiaat,68.7098,-52.8699,-8.27,94,96,3.03,GL,1712582535
348,ungheni,47.2042,27.7958,25.15,36,0,3.6,MD,1712582536
349,sao vicente,-23.9631,-46.3919,28.48,26,100,1.41,BR,1712582378
350,greymouth,-42.4667,171.2,10.01,88,21,2.86,NZ,1712582537
351,morehead city,34.7229,-76.726,18.0,72,0,1.54,US,1712582537
352,rizokarpaso,35.6,34.375,18.75,53,45,3.57,CY,1712582539
353,george,-33.963,22.4617,16.75,100,100,2.06,ZA,1712582539
354,soure,-0.7167,-48.5233,27.05,85,100,2.32,BR,1712582540
355,debark',13.1561,37.8981,22.43,25,87,3.18,ET,1712582540
356,roma,43.2128,-75.4557,10.05,57,100,0.45,US,1712582428
357,tucuma,-0.1833,-50.05,27.48,80,57,2.5,BR,1712582541
358,greenville,35.6127,-77.3663,14.52,79,0,1.54,US,1712582509
359,laojunmiao,39.8333,97.7333,9.04,12,100,3.46,CN,1712582542
360,bardai,11.65,7.2333,37.97,7,100,3.25,NG,1712582542
361,macau,22.2006,113.5461,22.85,83,40,4.63,MO,1712582526
362,kazimierza wielka,50.2656,20.4936,27.47,42,100,2.85,PL,1712582543
363,muromtsevo,56.3724,75.2418,1.95,99,100,3.05,RU,1712582543
